Timestamp,acAR,acAS,acAT,acPowerFactor,actKw
4/19/2022 11:32,89.3,89.9,87.6,9.98,-62.8
4/19/2022 11:32,89.3,89.9,87.6,9.98,-62.8
4/19/2022 11:32,89.5,89.7,88,9.98,-62.8
4/19/2022 11:32,89.5,89.7,88,9.98,-62.8
4/19/2022 11:32,87.8,88.3,86.8,9.98,-61.7
4/19/2022 11:32,87.8,88.3,86.8,9.98,-61.7
4/19/2022 11:32,88.1,88.4,86.1,9.98,-61.8
4/19/2022 11:32,88.1,88.4,86.1,9.98,-61.8
4/19/2022 11:32,88.2,88.4,86.3,9.98,-61.8
4/19/2022 11:32,88.2,88.4,86.3,9.98,-61.8
4/19/2022 11:32,88,87.8,86.1,9.98,-61.6
4/19/2022 11:32,88,87.8,86.1,9.98,-61.6
4/19/2022 11:32,88.1,88.2,86.3,9.98,-61.8
4/19/2022 11:32,88.1,88.2,86.3,9.98,-61.8
4/19/2022 11:32,87.8,88.4,86.6,9.98,-61.8
4/19/2022 11:32,87.8,88.4,86.6,9.98,-61.8
4/19/2022 11:32,88.1,87.8,86.5,9.98,-61.8
4/19/2022 11:32,88.1,87.8,86.5,9.98,-61.8
4/19/2022 11:32,88.5,88.2,86.7,9.98,-62
4/19/2022 11:32,88.5,88.2,86.7,9.98,-62
4/19/2022 11:32,88.2,88.3,86.2,9.98,-61.8
4/19/2022 11:32,88.2,88.3,86.2,9.98,-61.8
4/19/2022 11:32,88.2,88.1,86.4,9.98,-61.8
4/19/2022 11:32,88.2,88.1,86.4,9.98,-61.8
4/19/2022 11:32,86.9,86.6,85.4,9.98,-60.8
4/19/2022 11:32,86.9,86.6,85.4,9.98,-60.8
4/19/2022 11:32,87,86.9,84.7,9.98,-60.8
4/19/2022 11:32,87,86.9,84.7,9.98,-60.8
4/19/2022 11:32,86.8,86.8,85.3,9.98,-60.8
4/19/2022 11:32,86.8,86.8,85.3,9.98,-60.8
4/19/2022 11:32,86.8,86.7,85,9.98,-60.8
4/19/2022 11:32,86.8,86.7,85,9.98,-60.8
4/19/2022 11:32,88,87.7,86.4,9.98,-61.8
4/19/2022 11:32,88,87.7,86.4,9.98,-61.8
4/19/2022 11:32,88.2,88.1,86.4,9.98,-61.8
4/19/2022 11:32,88.2,88.1,86.4,9.98,-61.8
4/19/2022 11:32,88.5,88.1,86.5,9.98,-61.9
4/19/2022 11:32,88.5,88.1,86.5,9.98,-61.9
